date,estimate_type,tenure,households
30 Jun 1991,as at,total,1252600
30 Sep 1991,as at,total,1256200
31 Dec 1991,as at,total,1260000
31 Mar 1992,as at,total,1264000
30 Jun 1992,as at,total,1268200
30 Sep 1992,as at,total,1271900
31 Dec 1992,as at,total,1275800
31 Mar 1993,as at,total,1279700
30 Jun 1993,as at,total,1284000
30 Sep 1993,as at,total,1287900
31 Dec 1993,as at,total,1291900
31 Mar 1994,as at,total,1296400
30 Jun 1994,as at,total,1300800
30 Sep 1994,as at,total,1305100
31 Dec 1994,as at,total,1310100
31 Mar 1995,as at,total,1315600
30 Jun 1995,as at,total,1321400
30 Sep 1995,as at,total,1326200
31 Dec 1995,as at,total,1330800
31 Mar 1996,as at,total,1335300
30 Jun 1996,as at,total,1340200
30 Sep 1996,as at,total,1344300
31 Dec 1996,as at,total,1348800
31 Mar 1997,as at,total,1352800
30 Jun 1997,as at,total,1357000
30 Sep 1997,as at,total,1360900
31 Dec 1997,as at,total,1365500
31 Mar 1998,as at,total,1370800
30 Jun 1998,as at,total,1375600
30 Sep 1998,as at,total,1379800
31 Dec 1998,as at,total,1383400
31 Mar 1999,as at,total,1387000
30 Jun 1999,as at,total,1390900
30 Sep 1999,as at,total,1395100
31 Dec 1999,as at,total,1400100
31 Mar 2000,as at,total,1405700
30 Jun 2000,as at,total,1410400
30 Sep 2000,as at,total,1414200
31 Dec 2000,as at,total,1418000
31 Mar 2001,as at,total,1421800
30 Jun 2001,as at,total,1425200
30 Sep 2001,as at,total,1429400
31 Dec 2001,as at,total,1434200
31 Mar 2002,as at,total,1439300
30 Jun 2002,as at,total,1444600
30 Sep 2002,as at,total,1449500
31 Dec 2002,as at,total,1455500
31 Mar 2003,as at,total,1462300
30 Jun 2003,as at,total,1470200
30 Sep 2003,as at,total,1476200
31 Dec 2003,as at,total,1482900
31 Mar 2004,as at,total,1490700
30 Jun 2004,as at,total,1498400
30 Sep 2004,as at,total,1506200
31 Dec 2004,as at,total,1514200
31 Mar 2005,as at,total,1520800
30 Jun 2005,as at,total,1528000
30 Sep 2005,as at,total,1534700
31 Dec 2005,as at,total,1540100
31 Mar 2006,as at,total,1546300
30 Jun 2006,as at,total,1552600
30 Sep 2006,as at,total,1557300
31 Dec 2006,as at,total,1561600
31 Mar 2007,as at,total,1566900
30 Jun 2007,as at,total,1571600
30 Sep 2007,as at,total,1576200
31 Dec 2007,as at,total,1581100
31 Mar 2008,as at,total,1586000
30 Jun 2008,as at,total,1590400
30 Sep 2008,as at,total,1594200
31 Dec 2008,as at,total,1598200
31 Mar 2009,as at,total,1601400
30 Jun 2009,as at,total,1604000
30 Sep 2009,as at,total,1606100
31 Dec 2009,as at,total,1608600
31 Mar 2010,as at,total,1611400
30 Jun 2010,as at,total,1614600
30 Sep 2010,as at,total,1617400
31 Dec 2010,as at,total,1620500
31 Mar 2011,as at,total,1623400
30 Jun 2011,as at,total,1626000
30 Sep 2011,as at,total,1628200
31 Dec 2011,as at,total,1630400
31 Mar 2012,as at,total,1633300
30 Jun 2012,as at,total,1636000
30 Sep 2012,as at,total,1638900
31 Dec 2012,as at,total,1641700
31 Mar 2013,as at,total,1645000
30 Jun 2013,as at,total,1648500
30 Sep 2013,as at,total,1653700
31 Dec 2013,as at,total,1658500
31 Mar 2014,as at,total,1664400
30 Jun 2014,as at,total,1670600
30 Sep 2014,as at,total,1677500
31 Dec 2014,as at,total,1683500
31 Mar 2015,as at,total,1690500
30 Jun 2015,as at,total,1697500
30 Sep 2015,as at,total,1705100
31 Dec 2015,as at,total,1711500
31 Mar 2016,as at,total,1718600
30 Jun 2016,as at,total,1726800
30 Sep 2016,as at,total,1735400
31 Dec 2016,as at,total,1742500
31 Mar 2017,as at,total,1751100
30 Jun 2017,as at,total,1760300
30 Sep 2017,as at,total,1769000
31 Dec 2017,as at,total,1776700
31 Mar 2018,as at,total,1785100
30 Jun 2018,as at,total,1794800
30 Sep 2018,as at,total,1801900
31 Dec 2018,as at,total,1808300
31 Mar 2019,as at,total,1816200
30 Jun 2019,as at,total,1823700
30 Sep 2019,as at,total,1831100
31 Dec 2019,as at,total,1838900
31 Mar 2020,as at,total,1847100
30 Jun 2020,as at,total,1856000
30 Sep 2020,as at,total,1864500
31 Dec 2020,as at,total,1872300
31 Mar 2021,as at,total,1880500
30 Jun 2021,as at,total,1889500
30 Sep 2021,as at,total,1899500
31 Dec 2021,as at,total,1908700
30 Jun 1991,as at,owner_occupied,922100
30 Sep 1991,as at,owner_occupied,922800
31 Dec 1991,as at,owner_occupied,923600
31 Mar 1992,as at,owner_occupied,924500
30 Jun 1992,as at,owner_occupied,925600
30 Sep 1992,as at,owner_occupied,926300
31 Dec 1992,as at,owner_occupied,927100
31 Mar 1993,as at,owner_occupied,927900
30 Jun 1993,as at,owner_occupied,929100
30 Sep 1993,as at,owner_occupied,929800
31 Dec 1993,as at,owner_occupied,930700
31 Mar 1994,as at,owner_occupied,932000
30 Jun 1994,as at,owner_occupied,933100
30 Sep 1994,as at,owner_occupied,934100
31 Dec 1994,as at,owner_occupied,935600
31 Mar 1995,as at,owner_occupied,937500
30 Jun 1995,as at,owner_occupied,939600
30 Sep 1995,as at,owner_occupied,941000
31 Dec 1995,as at,owner_occupied,942100
31 Mar 1996,as at,owner_occupied,943200
30 Jun 1996,as at,owner_occupied,944800
30 Sep 1996,as at,owner_occupied,945800
31 Dec 1996,as at,owner_occupied,947000
31 Mar 1997,as at,owner_occupied,947900
30 Jun 1997,as at,owner_occupied,948900
30 Sep 1997,as at,owner_occupied,949700
31 Dec 1997,as at,owner_occupied,950900
31 Mar 1998,as at,owner_occupied,952600
30 Jun 1998,as at,owner_occupied,954000
30 Sep 1998,as at,owner_occupied,955000
31 Dec 1998,as at,owner_occupied,955400
31 Mar 1999,as at,owner_occupied,955900
30 Jun 1999,as at,owner_occupied,956700
30 Sep 1999,as at,owner_occupied,957600
31 Dec 1999,as at,owner_occupied,959000
31 Mar 2000,as at,owner_occupied,960800
30 Jun 2000,as at,owner_occupied,962000
30 Sep 2000,as at,owner_occupied,962600
31 Dec 2000,as at,owner_occupied,963100
31 Mar 2001,as at,owner_occupied,964100
30 Jun 2001,as at,owner_occupied,965700
30 Sep 2001,as at,owner_occupied,967900
31 Dec 2001,as at,owner_occupied,970400
31 Mar 2002,as at,owner_occupied,973200
30 Jun 2002,as at,owner_occupied,976000
30 Sep 2002,as at,owner_occupied,978700
31 Dec 2002,as at,owner_occupied,982000
31 Mar 2003,as at,owner_occupied,985900
30 Jun 2003,as at,owner_occupied,990600
30 Sep 2003,as at,owner_occupied,993900
31 Dec 2003,as at,owner_occupied,997700
31 Mar 2004,as at,owner_occupied,1002200
30 Jun 2004,as at,owner_occupied,1006700
30 Sep 2004,as at,owner_occupied,1011200
31 Dec 2004,as at,owner_occupied,1015800
31 Mar 2005,as at,owner_occupied,1019500
30 Jun 2005,as at,owner_occupied,1023700
30 Sep 2005,as at,owner_occupied,1027400
31 Dec 2005,as at,owner_occupied,1030300
31 Mar 2006,as at,owner_occupied,1033900
30 Jun 2006,as at,owner_occupied,1036600
30 Sep 2006,as at,owner_occupied,1038600
31 Dec 2006,as at,owner_occupied,1040300
31 Mar 2007,as at,owner_occupied,1042600
30 Jun 2007,as at,owner_occupied,1044600
30 Sep 2007,as at,owner_occupied,1046400
31 Dec 2007,as at,owner_occupied,1048500
31 Mar 2008,as at,owner_occupied,1050500
30 Jun 2008,as at,owner_occupied,1052300
30 Sep 2008,as at,owner_occupied,1053600
31 Dec 2008,as at,owner_occupied,1055000
31 Mar 2009,as at,owner_occupied,1055900
30 Jun 2009,as at,owner_occupied,1056400
30 Sep 2009,as at,owner_occupied,1056600
31 Dec 2009,as at,owner_occupied,1057000
31 Mar 2010,as at,owner_occupied,1057600
30 Jun 2010,as at,owner_occupied,1058500
30 Sep 2010,as at,owner_occupied,1059100
31 Dec 2010,as at,owner_occupied,1059900
31 Mar 2011,as at,owner_occupied,1060600
30 Jun 2011,as at,owner_occupied,1061100
30 Sep 2011,as at,owner_occupied,1061300
31 Dec 2011,as at,owner_occupied,1061500
31 Mar 2012,as at,owner_occupied,1062100
30 Jun 2012,as at,owner_occupied,1062700
30 Sep 2012,as at,owner_occupied,1063300
31 Dec 2012,as at,owner_occupied,1063900
31 Mar 2013,as at,owner_occupied,1064700
30 Jun 2013,as at,owner_occupied,1064000
30 Sep 2013,as at,owner_occupied,1067300
31 Dec 2013,as at,owner_occupied,1070500
31 Mar 2014,as at,owner_occupied,1074300
30 Jun 2014,as at,owner_occupied,1078200
30 Sep 2014,as at,owner_occupied,1082700
31 Dec 2014,as at,owner_occupied,1086600
31 Mar 2015,as at,owner_occupied,1091100
30 Jun 2015,as at,owner_occupied,1095600
30 Sep 2015,as at,owner_occupied,1100500
31 Dec 2015,as at,owner_occupied,1104600
31 Mar 2016,as at,owner_occupied,1109200
30 Jun 2016,as at,owner_occupied,1114500
30 Sep 2016,as at,owner_occupied,1120100
31 Dec 2016,as at,owner_occupied,1124700
31 Mar 2017,as at,owner_occupied,1130200
30 Jun 2017,as at,owner_occupied,1136100
